param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.25_s0.8_fixed_r1.0_e0.45_h24,3443,379,48.59134475747894,0.9114210240509881,-7500.639100000157,-2.178518472262607,-0.02814919037298985,-19.790604485488554,-36.10617749208475,-4.173219319261623,-82.42299010873838,-1.975697191040349
B_t0.25_s0.8_vwap_static_e0.45_h24,2743,379,42.10718191760846,0.9094134656860261,-6741.5640498551375,-2.4577338862031124,-0.03364971927446511,-17.787767941570294,-36.12017807889296,0.08458755970235872,-79.15595633556353,-1.581871947376014
B_t0.25_s0.6_fixed_r1.0_e0.45_h24,4482,379,48.63900044622936,0.9079059382852936,-8264.105050000373,-1.8438431615351123,-0.027836352063180345,-21.805026517151394,-36.1902119350274,-7.733087650726263,-84.1197787820217,-2.4431593835309453
B_t0.35_s0.6_fixed_r1.5_e0_h24,2802,368,43.25481798715203,0.9189901159608024,-6589.141194499884,-2.351585008743713,-0.02841682252686985,-17.905274985054046,-36.24969648933401,-0.41379850597805357,-77.44871107622946,-1.609216938866283
B_t0.35_s1_fixed_r1.0_e0_h0,1573,368,48.569612205975844,0.9157833799100155,-5990.479475000167,-3.808314987285548,-0.02713933098362385,-16.278476834239594,-36.28776678600603,3.178842976901751,-64.92233061099424,-1.3430237950412651
B_t0.35_s0.8_vwap_static_e0_h24,2147,368,45.08616674429437,0.9111060559230472,-6149.46536384194,-2.8642130246119892,-0.025779913221975183,-16.710503706092243,-36.56071288197214,2.4779818585728184,-68.04420289172789,-1.3911932278671757
B_t0.25_s0.6_fixed_r1.5_e0.45_h0,3537,379,39.468476109697484,0.9102641587551451,-7873.434472500312,-2.226020489821971,-0.037876953288173844,-20.774233436676305,-36.812124002803955,-4.816312477737989,-86.07214599447795,-2.079134645891336
B_t0.25_s0.8_fixed_r1.5_e0.45_h24,3026,379,43.35756774619961,0.909594966089254,-7359.924640000089,-2.43222889623268,-0.03323660818193486,-19.41932622691318,-36.81515223680738,-2.4752233997367257,-87.14510152720237,-1.8119104525979461
B_t0.35_s1_fixed_r1.5_e0_h24,2046,368,47.75171065493646,0.9127996899552189,-6124.078594999872,-2.9931957942325864,-0.021061804185938546,-16.641517921195312,-37.014544987941335,3.202936557405161,-72.60054354887755,-1.3433670703929168
B_t0.35_s0.8_fixed_r1.5_e0_h12,3149,368,47.60241346459193,0.9138062396097082,-6665.499351999767,-2.1167035096855407,-0.01747604022334031,-18.11276997826025,-37.043511788179124,0.4137308902179348,-69.87387437272902,-1.5638577843355226
