set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
8h,60,2.0,1.0,5830.483999999949,1.1532620794796895,-1744.1539999999895,6497.917000000007,1.226380390177056,-1402.8109999999913,2.9716387490004337,12328.400999999956,7.06841311031023,-1744.1539999999895,2.1746760182140115,True
8h,60,2.0,1.5,4892.746999999992,1.108395918431188,-2108.5494999999855,5882.564499999988,1.1694618930185328,-1821.9839999999526,2.342962811844638,10775.31149999998,5.110295726991494,-2108.5494999999855,1.6733755753615374,True
8h,60,2.0,2.0,4834.744999999969,1.0982731710581202,-1861.436999999988,7656.866000000011,1.2084219965734029,-1028.0689999999645,3.1538310159146756,12491.610999999979,6.710735308259188,-1861.436999999988,1.9888523662687825,True
8h,60,3.0,1.0,5618.973,1.1384442273062607,-1958.7959999999757,8638.198999999946,1.288736060107056,-1087.40800000001,3.371293717743144,14257.171999999946,6.427760811014304,-2218.06199999999,2.0973955815463357,True
8h,60,3.0,1.5,4319.134000000029,1.0882441767903244,-2708.4724999999776,8133.667499999951,1.2222680175725693,-1195.396999999943,2.7769601591817965,12452.80149999998,4.5977212247863255,-2708.4724999999776,1.620422097566672,True
8h,60,3.0,2.0,4316.348000000018,1.0803942367492778,-2522.913999999967,10883.213999999962,1.279452997754276,-1020.8040000000146,3.7707781897321064,15199.56199999998,6.024605674232327,-2522.913999999967,1.9905072254222933,True
8h,60,4.0,1.0,6349.005000000049,1.1529988891262832,-1841.2719999999626,9572.410999999938,1.3140880934650834,-1323.0840000000235,3.404390769706943,15921.415999999987,6.922420997070483,-2299.977999999973,2.098708616422626,True
8h,60,4.0,1.5,5504.797500000079,1.1097965709837971,-2378.5124999999616,9298.252499999957,1.2481772923170045,-1485.0429999999687,2.8904236463781734,14803.050000000036,6.223658694247043,-2378.5124999999616,1.7251110722279983,True
8h,60,4.0,2.0,5610.938000000079,1.1017007725392791,-2350.069999999955,12561.222999999976,1.3157916264790124,-1107.1180000000204,3.8794341352221604,18172.161000000055,7.732604135196143,-2350.069999999955,2.095803871361539,True
8h,60,5.0,1.0,6676.060000000014,1.1589154087503957,-2202.3859999999713,9708.273999999983,1.3161878771296274,-1089.9990000000203,3.1880195565338587,16384.333999999995,5.851403661838374,-2800.0689999999804,1.9955455526032349,True
8h,60,5.0,1.5,6092.933500000021,1.1198191244402649,-2733.8284999999814,9376.0755,1.2473859156358809,-1172.333999999988,2.696012900936738,15469.009000000022,5.602193433642086,-2761.241499999999,1.6673017012031939,True
8h,60,5.0,2.0,6194.828000000045,1.1104868997690496,-2629.4739999999774,12223.190000000013,1.304141283386097,-1359.4760000000115,3.462078205413203,18418.01800000006,6.71208122419383,-2744.009999999992,1.9487863034202437,True
8h,60,99.0,1.0,7580.018999999991,1.1783405141482963,-2926.032999999982,9132.931999999992,1.2958519038501684,-1181.7340000000122,2.660013957839259,16712.950999999983,5.396537010123081,-3096.9770000000053,1.7530492347475652,True
8h,60,99.0,1.5,7245.846500000005,1.1401916539447206,-3513.9224999999724,9248.286499999984,1.242640838601418,-1532.6010000000006,2.3395829930986913,16494.132999999987,4.693937615300314,-3513.9224999999724,1.5275066831936397,True
8h,60,99.0,2.0,7881.018000000004,1.1382678642953403,-3277.8259999999764,12785.945,1.3167384165914366,-1396.9520000000139,3.1552715830370985,20666.963000000003,6.305082393025178,-3277.8259999999764,1.8657950891682193,True
